ts,price,mrp,in_stock,seller,shipper
2026-09-11T02:04:23+00:00,3912.00,6995.00,1,,
2026-09-11T02:30:32+00:00,3912.00,6995.00,1,,
2026-09-11T05:19:31+00:00,3912.00,6995.00,1,,
2026-09-11T07:12:52+00:00,3912.00,6995.00,1,,
2026-09-11T09:48:27+00:00,3912.00,6995.00,1,,
2026-09-11T13:51:24+00:00,3912.00,6995.00,1,,
2026-09-11T17:19:59+00:00,3912.00,6995.00,1,,
2026-09-11T19:48:35+00:00,3912.00,6995.00,1,,
2026-09-11T21:59:34+00:00,3912.00,6995.00,1,,
2026-09-11T23:54:02+00:00,3912.00,6995.00,1,,
2026-09-12T02:57:30+00:00,3912.00,6995.00,1,,
2026-09-12T07:39:26+00:00,3912.00,6995.00,1,,
2026-09-12T11:42:46+00:00,3912.00,6995.00,1,,
2026-09-12T14:22:28+00:00,3912.00,6995.00,1,,
2026-09-12T17:16:48+00:00,3912.00,6995.00,1,,
2026-09-12T19:25:08+00:00,3912.00,6995.00,1,,
2026-09-12T21:31:46+00:00,3912.00,6995.00,1,,
2026-09-12T23:12:48+00:00,3912.00,6995.00,1,,
2026-09-13T00:59:23+00:00,3912.00,6995.00,1,,
2026-09-13T05:41:01+00:00,3912.00,6995.00,1,,
2026-09-13T10:36:35+00:00,3912.00,6995.00,1,,
2026-09-13T14:39:04+00:00,3912.00,6995.00,1,,
2026-09-13T17:37:38+00:00,3912.00,6995.00,1,,
2026-09-13T19:44:04+00:00,3912.00,6995.00,1,,
2026-09-13T21:45:41+00:00,3912.00,6995.00,1,,
2026-09-13T23:36:46+00:00,3912.00,6995.00,1,,
2026-09-14T01:36:15+00:00,3912.00,6995.00,1,,
2026-09-14T07:01:43+00:00,3912.00,6995.00,1,,
2026-09-14T13:48:45+00:00,3912.00,6995.00,1,,
2026-09-14T18:53:53+00:00,3912.00,6995.00,1,,
2026-09-14T22:14:47+00:00,3912.00,6995.00,1,,
2026-09-15T00:41:03+00:00,3912.00,6995.00,1,,
2026-09-15T05:20:10+00:00,3912.00,6995.00,1,,
2026-09-15T10:09:53+00:00,3912.00,6995.00,1,,
2026-09-15T14:57:23+00:00,3912.00,6995.00,1,,
2026-09-15T18:41:20+00:00,3912.00,6995.00,1,,
2026-09-15T21:44:38+00:00,3912.00,6995.00,1,,
2026-09-15T23:44:51+00:00,3912.00,6995.00,1,,
2026-09-16T01:44:35+00:00,3912.00,6995.00,1,,
2026-09-16T06:50:27+00:00,3912.00,6995.00,1,,
2026-09-16T12:11:45+00:00,3912.00,6995.00,1,,
2026-09-16T16:50:40+00:00,3912.00,6995.00,1,,
2026-09-16T19:45:40+00:00,3912.00,6995.00,1,,
2026-09-16T22:23:20+00:00,3912.00,6995.00,1,,
2026-09-17T00:45:16+00:00,3912.00,6995.00,1,,
2026-09-17T05:30:17+00:00,3912.00,6995.00,1,,
2026-09-17T10:17:07+00:00,3912.00,6995.00,1,,
2026-09-17T15:03:57+00:00,3912.00,6995.00,1,,
2026-09-17T18:58:38+00:00,3912.00,6995.00,1,,
2026-09-17T21:54:48+00:00,3912.00,6995.00,1,,
2026-09-17T23:52:45+00:00,3912.00,6995.00,1,,
2026-09-18T01:37:41+00:00,3912.00,6995.00,1,,
2026-09-18T06:36:17+00:00,3912.00,6995.00,1,,
2026-09-18T11:46:06+00:00,3912.00,6995.00,1,,
2026-09-18T15:12:02+00:00,3912.00,6995.00,1,,
2026-09-18T18:25:59+00:00,3912.00,6995.00,1,,
2026-09-18T21:05:37+00:00,3912.00,6995.00,1,,
2026-09-18T23:14:48+00:00,3912.00,6995.00,1,,
2026-09-19T01:14:17+00:00,3912.00,6995.00,1,,
2026-09-19T05:57:49+00:00,3912.00,6995.00,1,,
2026-09-19T10:14:51+00:00,3912.00,6995.00,1,,
2026-09-19T13:56:15+00:00,3912.00,6995.00,1,,
2026-09-19T16:59:32+00:00,3912.00,6995.00,1,,
2026-09-19T19:10:59+00:00,3912.00,6995.00,1,,
2026-09-19T21:27:11+00:00,3912.00,6995.00,1,,
2026-09-19T23:18:11+00:00,3912.00,6995.00,1,,
2026-09-20T01:14:45+00:00,3912.00,6995.00,1,,
2026-09-20T06:21:44+00:00,3912.00,6995.00,1,,
2026-09-20T11:36:09+00:00,3912.00,6995.00,1,,
2026-09-20T14:50:06+00:00,3912.00,6995.00,1,,
2026-09-20T17:42:36+00:00,3912.00,6995.00,1,,
2026-09-20T19:43:40+00:00,3912.00,6995.00,1,,
2026-09-20T21:54:03+00:00,3912.00,6995.00,1,,
2026-09-20T23:49:13+00:00,3912.00,6995.00,1,,
2026-09-21T01:44:15+00:00,3912.00,6995.00,1,,
2026-09-21T07:14:45+00:00,3912.00,6995.00,1,,
2026-09-21T14:15:44+00:00,3912.00,6995.00,1,,
2026-09-21T19:32:28+00:00,3912.00,6995.00,1,,
2026-09-21T22:45:59+00:00,3912.00,6995.00,1,,
2026-09-22T01:14:27+00:00,3912.00,6995.00,1,,
2026-09-22T06:18:35+00:00,3912.00,6995.00,1,,
2026-09-22T11:46:45+00:00,3912.00,6995.00,1,,
2026-09-22T15:44:56+00:00,3912.00,6995.00,1,,
2026-09-22T19:15:19+00:00,3912.00,6995.00,1,,
