ts,price,mrp,in_stock,seller,shipper
2026-09-11T02:29:20+00:00,3349.00,9999.00,1,,
2026-09-11T02:30:32+00:00,3349.00,9999.00,1,,
2026-09-11T07:07:39+00:00,3349.00,9999.00,1,,
2026-09-11T07:12:52+00:00,3349.00,9999.00,1,,
2026-09-11T19:48:35+00:00,3349.00,9999.00,1,,
2026-09-12T11:42:46+00:00,3349.00,9999.00,1,,
2026-09-13T00:59:23+00:00,3349.00,9999.00,1,,
2026-09-13T14:39:04+00:00,3349.00,9999.00,1,,
2026-09-14T07:01:43+00:00,3349.00,9999.00,1,,
2026-09-14T22:14:47+00:00,3349.00,9999.00,1,,
2026-09-15T14:57:23+00:00,3349.00,9999.00,1,,
2026-09-16T06:50:27+00:00,3349.00,9999.00,1,,
2026-09-16T19:45:40+00:00,3349.00,9999.00,1,,
2026-09-17T10:17:07+00:00,3349.00,9999.00,1,,
2026-09-17T23:52:45+00:00,3349.00,9999.00,1,,
2026-09-18T15:12:02+00:00,3349.00,9999.00,1,,
2026-09-19T05:57:49+00:00,3349.00,9999.00,1,,
2026-09-19T19:10:59+00:00,3349.00,9999.00,1,,
2026-09-20T11:36:09+00:00,3349.00,9999.00,1,,
2026-09-20T23:49:13+00:00,3349.00,9999.00,1,,
2026-09-21T14:15:44+00:00,3349.00,9999.00,1,,
2026-09-22T06:18:35+00:00,3349.00,9999.00,1,,
2026-09-22T19:15:19+00:00,3349.00,9999.00,1,,
