ts,price,mrp,in_stock,seller,shipper
2026-09-11T02:04:23+00:00,1949.00,3700.00,1,,
2026-09-11T02:30:32+00:00,1949.00,3700.00,1,,
2026-09-11T05:19:31+00:00,1949.00,3700.00,1,,
2026-09-11T07:12:52+00:00,1949.00,3700.00,1,,
2026-09-11T09:48:27+00:00,1949.00,3700.00,1,,
2026-09-11T13:51:24+00:00,1949.00,3700.00,1,,
2026-09-11T17:19:59+00:00,1949.00,3700.00,1,,
2026-09-11T19:48:35+00:00,1949.00,3700.00,1,,
2026-09-11T21:59:34+00:00,1949.00,3700.00,1,,
2026-09-11T23:54:02+00:00,1949.00,3700.00,1,,
2026-09-12T02:57:30+00:00,1949.00,3700.00,1,,
2026-09-12T07:39:26+00:00,1949.00,3700.00,1,,
2026-09-12T11:42:46+00:00,1949.00,3700.00,1,,
