ts,price,mrp,in_stock,seller,shipper
2026-08-01T19:38:35+00:00,660.00,1299.00,1,,
2026-08-01T20:53:02+00:00,660.00,1299.00,1,,
2026-08-01T20:54:36+00:00,660.00,1299.00,1,,
2026-08-01T20:57:02+00:00,660.00,1299.00,1,,
2026-08-01T21:56:21+00:00,660.00,1299.00,1,,
2026-08-01T22:57:23+00:00,660.00,1299.00,1,,
2026-08-02T00:01:57+00:00,660.00,1299.00,1,,
2026-08-02T04:03:55+00:00,660.00,1299.00,1,,
2026-08-02T07:06:29+00:00,660.00,1299.00,1,,
2026-08-02T09:33:12+00:00,660.00,1299.00,1,,
2026-08-02T11:16:35+00:00,660.00,1299.00,1,,
2026-08-02T12:34:34+00:00,660.00,1299.00,1,,
2026-08-02T14:28:31+00:00,655.00,999.00,1,,
2026-08-02T15:41:01+00:00,655.00,999.00,1,,
2026-08-02T16:58:50+00:00,655.00,999.00,1,,
2026-08-02T18:05:52+00:00,655.00,999.00,1,,
2026-08-02T19:43:35+00:00,655.00,999.00,1,,
2026-08-02T20:55:32+00:00,655.00,999.00,1,,
2026-08-02T21:57:20+00:00,655.00,999.00,1,,
2026-08-02T23:00:08+00:00,655.00,999.00,1,,
2026-08-03T00:06:50+00:00,655.00,999.00,1,,
2026-08-03T04:06:21+00:00,655.00,999.00,1,,
2026-08-03T07:57:25+00:00,655.00,999.00,1,,
2026-08-03T11:30:56+00:00,655.00,999.00,1,,
2026-08-03T14:38:53+00:00,655.00,999.00,1,,
2026-08-03T17:09:04+00:00,655.00,999.00,1,,
2026-08-03T19:06:06+00:00,655.00,999.00,1,,
2026-08-03T20:44:01+00:00,655.00,999.00,1,,
2026-08-03T22:09:02+00:00,655.00,999.00,1,,
2026-08-03T23:36:04+00:00,655.00,999.00,1,,
2026-08-04T02:31:49+00:00,655.00,999.00,1,,
2026-08-04T05:46:50+00:00,655.00,999.00,1,,
2026-08-04T08:36:15+00:00,655.00,999.00,1,,
2026-08-04T11:23:15+00:00,655.00,999.00,1,,
2026-08-04T13:15:59+00:00,655.00,999.00,1,,
2026-08-04T15:55:06+00:00,655.00,999.00,1,,
2026-08-04T17:48:52+00:00,655.00,999.00,1,,
2026-08-04T19:37:28+00:00,655.00,999.00,1,,
2026-08-04T21:12:37+00:00,655.00,999.00,1,,
2026-08-04T22:36:06+00:00,655.00,1299.00,1,,
2026-08-05T00:02:54+00:00,655.00,1299.00,1,,
2026-08-05T03:43:21+00:00,655.00,1299.00,1,,
2026-08-05T05:11:17+00:00,655.00,1299.00,1,,
2026-08-05T06:04:29+00:00,655.00,1299.00,1,,
2026-08-05T07:48:33+00:00,655.00,1299.00,1,,
2026-08-05T10:17:00+00:00,655.00,1299.00,1,,
2026-08-05T11:05:21+00:00,655.00,1299.00,1,,
2026-08-05T11:08:56+00:00,655.00,1299.00,1,,
2026-08-05T11:23:31+00:00,655.00,1299.00,1,,
2026-08-05T12:19:15+00:00,655.00,1299.00,1,,
2026-08-05T14:38:01+00:00,655.00,1299.00,1,,
2026-08-05T16:18:56+00:00,655.00,1299.00,1,,
2026-08-05T17:56:12+00:00,655.00,1299.00,1,,
2026-08-05T19:24:30+00:00,655.00,1299.00,1,,
2026-08-05T20:43:17+00:00,655.00,1299.00,1,,
2026-08-05T21:58:50+00:00,655.00,1299.00,1,,
2026-08-05T22:56:21+00:00,655.00,1299.00,1,,
2026-08-05T23:57:02+00:00,655.00,1299.00,1,,
2026-08-06T02:11:57+00:00,655.00,1299.00,1,,
2026-08-06T05:26:21+00:00,655.00,1299.00,1,,
2026-08-06T08:00:09+00:00,655.00,1299.00,1,,
2026-08-06T10:41:22+00:00,655.00,1299.00,1,,
2026-08-06T12:29:45+00:00,655.00,1299.00,1,,
2026-08-06T14:53:51+00:00,655.00,1299.00,1,,
2026-08-07T00:18:21+00:00,620.00,1299.00,1,,
2026-08-07T03:19:00+00:00,620.00,1299.00,1,,
2026-08-07T05:05:58+00:00,620.00,1299.00,1,,
2026-08-07T06:15:00+00:00,620.00,1299.00,1,,
2026-08-07T07:45:24+00:00,620.00,1299.00,1,,
2026-08-07T08:41:09+00:00,620.00,1299.00,1,,
2026-08-07T09:39:35+00:00,620.00,1299.00,1,,
2026-08-07T10:30:54+00:00,620.00,1299.00,1,,
2026-08-07T11:23:20+00:00,620.00,1299.00,1,,
2026-08-07T12:07:32+00:00,620.00,1299.00,1,,
2026-08-07T13:33:14+00:00,620.00,1299.00,1,,
2026-08-07T14:36:01+00:00,620.00,1299.00,1,,
2026-08-07T15:31:28+00:00,620.00,1299.00,1,,
